1,7361,Trapping,0
2,2731,Trapping,5
3,2731,Trapping,5
4,7358,Trapping,5
5,2255,Trapping,10
6,2734,Trapping,15
39,2731,Trapping,5
40,8403,Trapping,35
41,2731,Trapping,5
52,8118,Trapping,30
54,7363,Trapping,15
57,7363,Trapping,15
58,5476,Trapping,25
86,8046,Trapping,0
87,8046,Trapping,0
88,8046,Trapping,0
90,8046,Trapping,0
94,3898,Trapping,25
95,3898,Trapping,25
118,4502,Trapping,10
120,4502,Trapping,10
122,4502,Trapping,15
123,2682,Trapping,20
124,2682,Trapping,20
125,2682,Trapping,20
135,3898,Trapping,25
138,7359,Trapping,20
144,3898,Trapping,25
271,8046,Trapping,0
272,2698,Trapping,0
280,3752,Trapping,40
281,3752,Trapping,40
282,3752,Trapping,40
326,8177,Trapping,35
348,7368,Trapping,15
394,5569,Trapping,45
395,4524,Trapping,40
396,7366,Trapping,20
458,8177,Trapping,35
464,8177,Trapping,35
641,4502,Trapping,10
642,4502,Trapping,10
643,4502,Trapping,10
704,7358,Trapping,5
735,2682,Trapping,20
785,2682,Trapping,20
792,5410,Trapping,40
793,5410,Trapping,40
795,5410,Trapping,40
801,4502,Trapping,10
802,4502,Trapping,10
803,4502,Trapping,10
833,6252,Trapping,5
901,8176,Trapping,40
1070,8176,Trapping,40
1132,9592,Trapping,20
1135,9592,Trapping,20
1152,7370,Trapping,60
1153,7370,Trapping,60
1155,7370,Trapping,60
1217,7512,Trapping,65
1220,9600,Trapping,20
1221,9600,Trapping,20
1222,8376,Trapping,10
1223,6422,Trapping,40
1224,6422,Trapping,40
1229,8152,Trapping,0
1237,9872,Trapping,10
1238,9872,Trapping,10
1239,9872,Trapping,10
1240,9872,Trapping,10
1259,9809,Trapping,30
1260,4179,Trapping,10
1261,4179,Trapping,10
1263,9565,Trapping,25
1267,8046,Trapping,0
1268,8046,Trapping,0
1269,8046,Trapping,0
1270,8046,Trapping,0
1274,3898,Trapping,25
1275,3898,Trapping,25
1280,6422,Trapping,40
1312,7512,Trapping,55
1348,5569,Trapping,45
1355,10364,Trapping,20
1364,10364,Trapping,20
1366,10364,Trapping,20
1429,10195,Trapping,15
1430,9956,Trapping,25
1431,9956,Trapping,25
1432,9956,Trapping,25
1433,9954,Trapping,60
1434,7373,Trapping,60
1435,7373,Trapping,60
1446,10072,Trapping,10
1447,10072,Trapping,10
1448,10074,Trapping,15
1449,6220,Trapping,40
1450,6220,Trapping,40
1451,6220,Trapping,40
1452,6220,Trapping,40
1477,10123,Trapping,25
1511,12562,Trapping,40
1512,12562,Trapping,40
1515,12562,Trapping,40
1516,12562,Trapping,40
1521,12562,Trapping,40
1522,12562,Trapping,40
1534,12562,Trapping,40
1537,12562,Trapping,40
1553,10371,Trapping,15
1554,10371,Trapping,15
1555,10371,Trapping,15
1556,10371,Trapping,15
1583,10658,Trapping,0
1584,10658,Trapping,0
1585,10658,Trapping,0
1590,2254,Trapping,10
1597,10411,Trapping,15
1630,10334,Trapping,0
1631,10074,Trapping,15
1632,9600,Trapping,20
1633,9872,Trapping,10
1634,10406,Trapping,10
1635,6422,Trapping,40
1636,3898,Trapping,25
1637,10123,Trapping,25
1638,10371,Trapping,15
1639,9592,Trapping,20
1640,3752,Trapping,40
1643,7370,Trapping,60
1645,7363,Trapping,15
1646,2682,Trapping,20
1647,9565,Trapping,25
1650,6422,Trapping,40
1654,5410,Trapping,40
1656,11102,Trapping,40
1657,10964,Trapping,20
1658,11102,Trapping,40
1672,11091,Trapping,0
1673,11091,Trapping,0
1674,11093,Trapping,0
1675,11094,Trapping,0
1676,11096,Trapping,0
1677,11096,Trapping,0
1678,11087,Trapping,0
1679,11087,Trapping,0
1686,10986,Trapping,35
1687,10986,Trapping,35
1688,10986,Trapping,35
1689,10988,Trapping,40
1690,10988,Trapping,40
1691,10988,Trapping,40
1692,10987,Trapping,40
1693,10987,Trapping,40
1694,10987,Trapping,40
1700,8413,Trapping,40
1701,8413,Trapping,40
1707,10364,Trapping,0
1729,10658,Trapping,0
1730,10658,Trapping,0
1738,10195,Trapping,15
1749,9956,Trapping,25
1776,12544,Trapping,74
1777,12544,Trapping,74
1778,12544,Trapping,74
1779,12544,Trapping,74
1780,12685,Trapping,60
1781,12685,Trapping,60
1782,12685,Trapping,60
1787,12545,Trapping,70
1789,12545,Trapping,70
1790,12545,Trapping,70
1793,6220,Trapping,40
1801,9955,Trapping,60
1802,7370,Trapping,60
1803,12685,Trapping,60
